Title,Company,Location,Job_Url,Posted_Text,Posted_Date,Experience,Skills,Job_Type,Salary,Skills_List
Data Scientist-Artificial Intelligence,Ibm,"Kochi, Kerala, India",https://in.linkedin.com/jobs/view/data-scientist-artificial-intelligence-at-ibm-4446241710?position=1&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=SvOZkJNmAmrAO7HXXxVCQg%3D%3D,18 Hours Ago,2026-08-25,Mid-Senior Level,"Python, Sql, Machine Learning, Artificial Intelligence, Nlp, Tensorflow, Pytorch, Keras, Hugging Face, Pandas, Matplotlib, Aws, Azure, Gcp, Kubernetes, Mongodb",Full-Time,43166666.666666664,"['Python', 'Sql', 'Machine Learning', 'Artificial Intelligence', 'Nlp', 'Tensorflow', 'Pytorch', 'Keras', 'Hugging Face', 'Pandas', 'Matplotlib', 'Aws', 'Azure', 'Gcp', 'Kubernetes', 'Mongodb']"
Senior Data Scientist - I,Metlife,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/senior-data-scientist-i-at-metlife-4455731862?position=2&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=7V8rfqYpC7elSxxCIHlEgA%3D%3D,22 Hours Ago,2026-08-25,Mid-Senior Level,"Python, Machine Learning, Nlp, Tensorflow, Pytorch, Scikit-Learn, Azure",Full-Time,Not Disclosed,"['Python', 'Machine Learning', 'Nlp', 'Tensorflow', 'Pytorch', 'Scikit-Learn', 'Azure']"
Senior Data Scientist,Sourcingxpress,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/senior-data-scientist-at-sourcingxpress-4384572454?position=3&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=cIxUNaEiXEyotPyxdNHg6g%3D%3D,5 Months Ago,2026-03-16,Mid-Senior Level,"Python, Machine Learning, Deep Learning, Aws, Azure, Gcp, Databricks",Full-Time,85333333.33333333,"['Python', 'Machine Learning', 'Deep Learning', 'Aws', 'Azure', 'Gcp', 'Databricks']"
Sr Advanced Data Scientist,Honeywell Technologies,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/sr-advanced-data-scientist-at-honeywell-technologies-4445700716?position=4&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=bI%2FusVem%2F3RQBsT28IMDeA%3D%3D,1 Week Ago,2026-08-18,Mid-Senior Level,"Python, R, Machine Learning, Azure, Databricks",Full-Time,Not Disclosed,"['Python', 'R', 'Machine Learning', 'Azure', 'Databricks']"
Senior Data Scientist I,Metlife,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/senior-data-scientist-i-at-metlife-4446306265?position=5&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=ReI3gNjbjqFdh1t8nEIwxA%3D%3D,3 Weeks Ago,2026-08-03,Mid-Senior Level,"Python, Machine Learning, Nlp, Tensorflow, Pytorch, Scikit-Learn, Azure",Full-Time,Not Disclosed,"['Python', 'Machine Learning', 'Nlp', 'Tensorflow', 'Pytorch', 'Scikit-Learn', 'Azure']"
Senior Data Scientist,Amplify Health,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/senior-data-scientist-at-amplify-health-4445437035?position=6&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=bwTteJYuB%2BcHgbYBYFekbg%3D%3D,4 Weeks Ago,2026-07-28,Mid-Senior Level,"Python, Sql, Machine Learning, Deep Learning, Nlp, Tensorflow, Pytorch, Hugging Face, Scikit-Learn, Azure, Docker, Kubernetes, Databricks",Full-Time,85333333.33333333,"['Python', 'Sql', 'Machine Learning', 'Deep Learning', 'Nlp', 'Tensorflow', 'Pytorch', 'Hugging Face', 'Scikit-Learn', 'Azure', 'Docker', 'Kubernetes', 'Databricks']"
Senior Data Scientist,Sei,Greater Hyderabad Area,https://in.linkedin.com/jobs/view/senior-data-scientist-at-sei-4407866688?position=7&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=8I8GIC0nK0iHld5WRxOH0w%3D%3D,1 Week Ago,2026-08-14,Mid-Senior Level,"Python, Sql, R, Machine Learning, Artificial Intelligence, Tensorflow, Pytorch, Pandas, Scikit-Learn, Matplotlib, Power Bi, Tableau, Aws, Azure, Gcp, Docker, Kubernetes, Spark",Full-Time,169416666.66666666,"['Python', 'Sql', 'R', 'Machine Learning', 'Artificial Intelligence', 'Tensorflow', 'Pytorch', 'Pandas', 'Scikit-Learn', 'Matplotlib', 'Power Bi', 'Tableau', 'Aws', 'Azure', 'Gcp', 'Docker', 'Kubernetes', 'Spark']"
Lead Data Scientist,Atkinsréalis,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/lead-data-scientist-at-atkinsr%C3%A9alis-4446571831?position=8&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=JuoWULEs5APKllf6GqNwHQ%3D%3D,3 Weeks Ago,2026-08-04,Mid-Senior Level,"Python, Machine Learning, Deep Learning, Tensorflow, Pytorch, Hugging Face, Azure",Full-Time,43166666.666666664,"['Python', 'Machine Learning', 'Deep Learning', 'Tensorflow', 'Pytorch', 'Hugging Face', 'Azure']"
Data Scientist - Machine Learning,United Airlines India Knowledge Center,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/data-scientist-machine-learning-at-united-airlines-india-knowledge-center-4457838253?position=9&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=wtbIrTquHyNlQlfbOqNrmw%3D%3D,3 Days Ago,2026-08-22,Mid-Senior Level,"Python, Sql, Machine Learning, Artificial Intelligence, Git",Full-Time,50900000.0,"['Python', 'Sql', 'Machine Learning', 'Artificial Intelligence', 'Git']"
Lead Data Scientist- Gen Ai-Ml- Vice President,Citi,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/lead-data-scientist-gen-ai-ml-vice-president-at-citi-4446423940?position=10&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=9gGRDeN0A%2BIlsn%2BLnXBHXw%3D%3D,5 Days Ago,2026-08-20,Experience,"Python, Sql, Machine Learning, Nlp, Tensorflow, Pytorch, Pandas, Numpy, Scikit-Learn, Matplotlib, Power Bi, Tableau, Git",Full-Time,Not Disclosed,"['Python', 'Sql', 'Machine Learning', 'Nlp', 'Tensorflow', 'Pytorch', 'Pandas', 'Numpy', 'Scikit-Learn', 'Matplotlib', 'Power Bi', 'Tableau', 'Git']"
Sr Advanced Data Scientist,Honeywell Technologies,"Delhi, India",https://in.linkedin.com/jobs/view/sr-advanced-data-scientist-at-honeywell-technologies-4445717520?position=11&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=ws9J2nh1ZBz1wYfSlfx6Hw%3D%3D,1 Week Ago,2026-08-18,Mid-Senior Level,"Python, R, Machine Learning, Azure, Databricks",Full-Time,85333333.33333333,"['Python', 'R', 'Machine Learning', 'Azure', 'Databricks']"
