title,company,location,job_url,posted_text,posted_date,experience,salary,skills,job_type,salary_min,salary_max
Data Scientist-Artificial Intelligence,IBM,"Kochi, Kerala, India",https://in.linkedin.com/jobs/view/data-scientist-artificial-intelligence-at-ibm-4446241710?position=1&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=SvOZkJNmAmrAO7HXXxVCQg%3D%3D,18 hours ago,2026-08-25,Mid-Senior level,"₹1,000,000.00
            -
            ₹3,000,000.00","Python, SQL, Machine Learning, Artificial Intelligence, NLP, TensorFlow, PyTorch, Keras, Hugging Face, Pandas, Matplotlib, AWS, Azure, GCP, Kubernetes, MongoDB",Full-time,1000000.0,3000000.0
Senior Data Scientist - I,MetLife,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/senior-data-scientist-i-at-metlife-4455731862?position=2&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=7V8rfqYpC7elSxxCIHlEgA%3D%3D,22 hours ago,2026-08-25,Mid-Senior level,,"Python, Machine Learning, NLP, TensorFlow, PyTorch, Scikit-learn, Azure",Full-time,,
Senior Data Scientist,SourcingXPress,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/senior-data-scientist-at-sourcingxpress-4384572454?position=3&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=cIxUNaEiXEyotPyxdNHg6g%3D%3D,5 months ago,2026-03-16,Mid-Senior level,"Base pay range ₹2,000,000.00/yr - ₹4,000,000.00/yr","Python, Machine Learning, Deep Learning, AWS, Azure, GCP, Databricks",Full-time,2000000.0,4000000.0
Sr Advanced Data Scientist,Honeywell Technologies,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/sr-advanced-data-scientist-at-honeywell-technologies-4445700716?position=4&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=bI%2FusVem%2F3RQBsT28IMDeA%3D%3D,1 week ago,2026-08-18,Mid-Senior level,,"Python, R, Machine Learning, Azure, Databricks",Full-time,,
Senior Data Scientist I,MetLife,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/senior-data-scientist-i-at-metlife-4446306265?position=5&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=ReI3gNjbjqFdh1t8nEIwxA%3D%3D,3 weeks ago,2026-08-03,Mid-Senior level,,"Python, Machine Learning, NLP, TensorFlow, PyTorch, Scikit-learn, Azure",Full-time,,
Senior Data Scientist,Amplify Health,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/senior-data-scientist-at-amplify-health-4445437035?position=6&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=bwTteJYuB%2BcHgbYBYFekbg%3D%3D,4 weeks ago,2026-07-28,Mid-Senior level,"₹2,000,000.00
            -
            ₹4,000,000.00","Python, SQL, Machine Learning, Deep Learning, NLP, TensorFlow, PyTorch, Hugging Face, Scikit-learn, Azure, Docker, Kubernetes, Databricks",Full-time,2000000.0,4000000.0
Senior Data Scientist,SEI,Greater Hyderabad Area,https://in.linkedin.com/jobs/view/senior-data-scientist-at-sei-4407866688?position=7&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=8I8GIC0nK0iHld5WRxOH0w%3D%3D,1 week ago,2026-08-14,Mid-Senior level,"₹4,000,000.00
            -
            ₹5,500,000.00","Python, SQL, R, Machine Learning, Artificial Intelligence, TensorFlow, PyTorch, Pandas, Scikit-learn, Matplotlib, Power BI, Tableau, AWS, Azure, GCP, Docker, Kubernetes, Spark",Full-time,4000000.0,5500000.0
Lead Data Scientist,AtkinsRéalis,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/lead-data-scientist-at-atkinsr%C3%A9alis-4446571831?position=8&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=JuoWULEs5APKllf6GqNwHQ%3D%3D,3 weeks ago,2026-08-04,Mid-Senior level,"₹1,000,000.00
            -
            ₹3,000,000.00","Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Hugging Face, Azure",Full-time,1000000.0,3000000.0
Data Scientist - Machine Learning,United Airlines India Knowledge Center,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/data-scientist-machine-learning-at-united-airlines-india-knowledge-center-4457838253?position=9&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=wtbIrTquHyNlQlfbOqNrmw%3D%3D,3 days ago,2026-08-22,Mid-Senior level,"₹1,200,000.00
            -
            ₹1,800,000.00","Python, SQL, Machine Learning, Artificial Intelligence, Git",Full-time,1200000.0,1800000.0
Lead Data Scientist- Gen AI-ML- Vice president,Citi,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/lead-data-scientist-gen-ai-ml-vice-president-at-citi-4446423940?position=10&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=9gGRDeN0A%2BIlsn%2BLnXBHXw%3D%3D,5 days ago,2026-08-20,Not Applicable,,"Python, SQL, Machine Learning, NLP, TensorFlow, PyTorch, Pandas, NumPy, Scikit-learn, Matplotlib, Power BI, Tableau, Git",Full-time,,
